tx,ty,tz,qw,qx,qy,qz,fx,k1,k2,k3,p1,p2,cx,cy,fy,Scale
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
0.0,0.0,0.0,0.5,0.5,0.5,0.5,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001,0.1643
